topic,word,score
0,prior,0.00037444
0,richmond,0.000373694
0,colorado,0.000372948
0,oakland,0.000372948
0,stint,0.000372948
0,transferred,0.000370711
0,collegiate,0.000368474
0,defender,0.000368474
0,line,0.000368474
0,majors,0.000367728
0,averaged,0.000366982
0,france,0.000366982
0,spending,0.000366237
0,reached,0.000366237
0,fans,0.000365491
0,minutes,0.000362508
0,1960,0.000361762
0,southern,0.000361016
0,carlton,0.000359525
0,32,0.000357288
0,rebounds,0.000356542
0,jim,0.000355796
0,farm,0.000353559
0,starts,0.000353559
0,hired,0.000351322
0,resigned,0.000346101
0,substitute,0.000345356
0,smith,0.000343864
0,baseman,0.000343118
0,catcher,0.000342373
0,guard,0.000342373
0,kicked,0.000340881
0,leaving,0.000340881
0,key,0.00033939
0,nations,0.000338644
0,injured,0.000337898
0,tall,0.000337898
0,1959,0.000337898
0,highest,0.000335661
0,form,0.000334915
0,central,0.00033417
0,greatest,0.000331932
0,starter,0.000331932
0,brewers,0.000331187
0,previously,0.000330441
0,inning,0.000330441
0,class,0.000328949
0,coordinator,0.000328949
0,replaced,0.000328204
0,mvp,0.000327458
0,scout,0.000327458
0,strikeouts,0.000326712
0,40,0.000324475
0,finishing,0.000322983
0,performance,0.000322238
0,titles,0.000322238
0,included,0.000320746
0,outfielder,0.00032
0,james,0.000319255
0,referee,0.000316272
0,blues,0.00031478
0,indoor,0.000312543
0,week,0.000311051
0,firstteam,0.00030956
0,failed,0.000308814
0,turned,0.000308814
0,professionally,0.000308814
0,lead,0.000305831
0,month,0.000305085
0,pounds,0.00030434
0,honors,0.000302102
0,captained,0.000301357
0,bulls,0.000301357
0,picked,0.000301357
0,franchise,0.000300611
0,mariners,0.000300611
0,freshman,0.000299865
0,rest,0.000299865
0,reserve,0.000299119
0,recruited,0.000299119
0,great,0.000299119
0,joe,0.000298374
0,astros,0.000297628
0,coming,0.000297628
0,fee,0.000295391
0,bears,0.000295391
0,1956,0.000292408
0,dallas,0.000292408
0,johnson,0.000291662
0,current,0.000291662
0,paul,0.000290916
0,hitter,0.00029017
0,buffalo,0.000288679
0,green,0.000288679
0,subsequently,0.000288679
0,100,0.000287933
0,earning,0.000287933
0,50,0.000287933
0,phoenix,0.000287187
0,torquay,0.000287187
0,minors,0.000287187
0,gave,0.000287187
0,decided,0.000287187
0,appearing,0.000285696
0,steve,0.00028495
0,brown,0.000284204
0,pitch,0.000281967
0,1958,0.000281221
0,served,0.000281221
0,penalty,0.00027973
0,michael,0.000278984
0,son,0.000278238
0,running,0.000277493
0,bob,0.000276001
0,competition,0.000275255
0,stars,0.000275255
0,striker,0.00027451
0,strong,0.00027451
0,warriors,0.00027451
0,expos,0.000273764
0,feet,0.000273018
0,jays,0.000272272
0,arsenal,0.000272272
0,championships,0.000272272
0,voted,0.000271527
0,ranked,0.000271527
0,forced,0.000271527
0,saves,0.000270781
0,bats,0.000267798
0,double,0.000267052
0,considered,0.000266306
0,hawks,0.000265561
0,stanley,0.000264815
0,broke,0.000264815
0,stayed,0.000264069
0,preseason,0.000264069
0,bench,0.000263323
0,hurling,0.000263323
0,valuable,0.000263323
0,ability,0.000261086
0,fired,0.000261086
0,teammate,0.000261086
0,postseason,0.00026034
0,relegated,0.000259595
0,allireland,0.000259595
0,test,0.000258849
0,41,0.000257358
0,struck,0.000255866
0,compiled,0.000255866
0,golden,0.000255866
0,touchdowns,0.000253629
0,winners,0.000252883
0,ranks,0.000252137
0,indiana,0.000251392
0,miami,0.000250646
0,david,0.000250646
0,eastern,0.000250646
0,200607,0.0002499
0,complete,0.0002499
0,capped,0.000249154
0,hometown,0.000248409
0,finally,0.000247663
0,briefly,0.000247663
0,lefthanded,0.000246917
0,european,0.000246917
0,200809,0.000246917
0,ryan,0.00024468
0,primarily,0.00024468
0,vancouver,0.000243188
0,ohio,0.000242443
0,33,0.000240951
0,200708,0.000240205
0,struggled,0.00023946
0,sheffield,0.000238714
0,holds,0.000238714
0,schools,0.000237968
0,entry,0.000236477
0,loaned,0.000235731
0,relegation,0.000235731
0,wayne,0.000235731
0,spells,0.000234985
0,jets,0.000234985
0,200910,0.000234985
0,plate,0.000234985
0,staff,0.000234985
0,tony,0.000233494
0,sophomore,0.000233494
0,1953,0.000232748
0,1957,0.000232002
0,opening,0.000232002
0,previous,0.000231256
0,kevin,0.000231256
0,200506,0.000231256
0,beginning,0.000230511
0,lee,0.000230511
0,scottish,0.000229765
0,shortstop,0.000229765
0,brought,0.000229765
0,tied,0.000229019
0,womens,0.000228273
0,1955,0.000228273
0,oklahoma,0.000227528
0,cap,0.000227528
0,walks,0.000226782
0,gary,0.000226782
0,al,0.000226782
0,million,0.000226782
0,valley,0.000226036
0,bulldogs,0.000226036
0,champion,0.000226036
0,records,0.000226036
0,tenure,0.00022529
0,inaugural,0.000224545
0,beat,0.000223799
0,kick,0.000223799
0,development,0.000223799
0,fremantle,0.000223799
0,wings,0.000223799
0,outstanding,0.000223799
0,originally,0.000223053
0,father,0.000223053
0,playbyplay,0.000222307
0,brian,0.000221562
0,charge,0.000221562
0,replacement,0.000221562
0,illinois,0.000221562
0,spot,0.000220816
0,42,0.000220816
0,offered,0.000220816
0,nicknamed,0.00022007
0,201011,0.00022007
0,occasions,0.000219324
0,rockies,0.000219324
0,finish,0.000218579
0,stood,0.000218579
0,34,0.000217833
